id,epoch,val_loss,val_acc,loss,acc
0x3cdc5fd6f0ad7bd8,1,0.6388,0.7803,0.8368,0.7398
0x3cdc5fd6f0ad7bd8,2,0.5826,0.7901,0.6087,0.7832
0x3cdc5fd6f0ad7bd8,3,0.5579,0.7959,0.5723,0.792
0x3cdc5fd6f0ad7bd8,4,0.5448,0.7991,0.5556,0.7984
0x3cdc5fd6f0ad7bd8,5,0.5368,0.8026,0.5443,0.799
0x3cdc5fd6f0ad7bd8,6,0.5271,0.8047,0.5355,0.8013
0x3cdc5fd6f0ad7bd8,7,0.5235,0.8091,0.5307,0.8044
0x3cdc5fd6f0ad7bd8,8,0.521,0.8072,0.5254,0.8041
0x3cdc5fd6f0ad7bd8,9,0.5173,0.8081,0.5221,0.8056
0x3cdc5fd6f0ad7bd8,10,0.5132,0.8109,0.5176,0.8062
0x7e10001028c30b9b,1,0.543,0.7941,0.6682,0.7571
0x7e10001028c30b9b,2,0.5172,0.8061,0.5316,0.7996
0x7e10001028c30b9b,3,0.5098,0.807,0.5125,0.807
0x7e10001028c30b9b,4,0.5034,0.8107,0.5023,0.8106
0x7e10001028c30b9b,5,0.5233,0.7991,0.4953,0.8149
0x7e10001028c30b9b,6,0.4961,0.8149,0.489,0.8151
0x7e10001028c30b9b,7,0.4944,0.8131,0.4857,0.8166
0x7e10001028c30b9b,8,0.4888,0.8174,0.4822,0.8185
0x7e10001028c30b9b,9,0.4903,0.8146,0.4781,0.8199
0x7e10001028c30b9b,10,0.4721,0.8237,0.4762,0.8203
0x3964e95dc12764e8,1,0.5853,0.7845,0.7694,0.7323
0x3964e95dc12764e8,2,0.5528,0.7956,0.5527,0.7931
0x3964e95dc12764e8,3,0.5437,0.7949,0.5297,0.7999
0x3964e95dc12764e8,4,0.5205,0.8059,0.5163,0.8054
0x3964e95dc12764e8,5,0.5197,0.805,0.5061,0.8088
0x3964e95dc12764e8,6,0.5148,0.8069,0.4995,0.8108
0x3964e95dc12764e8,7,0.498,0.8137,0.4934,0.8138
0x3964e95dc12764e8,8,0.4965,0.8136,0.4885,0.8158
0x3964e95dc12764e8,9,0.4884,0.8193,0.4842,0.8164
0x3964e95dc12764e8,10,0.4888,0.8173,0.4807,0.8181
0xf738d62b40e8d42,1,0.556,0.7948,0.7555,0.732
0xf738d62b40e8d42,2,0.5394,0.7971,0.5998,0.7779
0xf738d62b40e8d42,3,0.5173,0.8064,0.5737,0.7867
0xf738d62b40e8d42,4,0.5194,0.8051,0.5615,0.7928
0xf738d62b40e8d42,5,0.5086,0.8078,0.5514,0.7946
0xf738d62b40e8d42,6,0.5174,0.8022,0.5467,0.7962
0xf738d62b40e8d42,7,0.5069,0.8089,0.5391,0.7992
0xf738d62b40e8d42,8,0.497,0.8081,0.5382,0.7986
0xf738d62b40e8d42,9,0.4913,0.8142,0.5327,0.801
0xf738d62b40e8d42,10,0.5017,0.8118,0.5289,0.8016
0x29cca2c9ebbdd6e9,1,0.5738,0.7824,0.7435,0.7281
0x29cca2c9ebbdd6e9,2,0.5278,0.8065,0.5398,0.7978
0x29cca2c9ebbdd6e9,3,0.5173,0.8076,0.5144,0.8066
0x29cca2c9ebbdd6e9,4,0.5086,0.8095,0.4992,0.8106
0x29cca2c9ebbdd6e9,5,0.501,0.8124,0.4893,0.8147
0x29cca2c9ebbdd6e9,6,0.5018,0.8084,0.4823,0.8163
0x29cca2c9ebbdd6e9,7,0.4871,0.8169,0.4759,0.8186
0x29cca2c9ebbdd6e9,8,0.4912,0.8148,0.4704,0.821
0x29cca2c9ebbdd6e9,9,0.4817,0.8193,0.4682,0.8228
0x29cca2c9ebbdd6e9,10,0.4744,0.8227,0.4654,0.8229
0x16dd7d7fda9d910a,1,0.6748,0.7727,0.9766,0.7009
0x16dd7d7fda9d910a,2,0.6057,0.7839,0.663,0.7669
0x16dd7d7fda9d910a,3,0.5756,0.7914,0.618,0.7779
0x16dd7d7fda9d910a,4,0.5611,0.7948,0.596,0.782
0x16dd7d7fda9d910a,5,0.5569,0.7953,0.587,0.7848
0x16dd7d7fda9d910a,6,0.5456,0.7981,0.5782,0.7879
0x16dd7d7fda9d910a,7,0.543,0.7978,0.5695,0.7917
0x16dd7d7fda9d910a,8,0.535,0.8016,0.5642,0.7918
0x16dd7d7fda9d910a,9,0.5366,0.7989,0.5608,0.7941
0x16dd7d7fda9d910a,10,0.5326,0.8052,0.5588,0.7932
0x4d6f7aca01f62b20,1,0.6002,0.7875,0.8445,0.7278
0x4d6f7aca01f62b20,2,0.5474,0.7999,0.597,0.7843
0x4d6f7aca01f62b20,3,0.5284,0.8036,0.5616,0.7942
0x4d6f7aca01f62b20,4,0.5168,0.806,0.5452,0.7972
0x4d6f7aca01f62b20,5,0.5088,0.8092,0.5329,0.7992
0x4d6f7aca01f62b20,6,0.5055,0.8091,0.5264,0.8031
0x4d6f7aca01f62b20,7,0.5017,0.8111,0.5197,0.8049
0x4d6f7aca01f62b20,8,0.4964,0.8149,0.5166,0.807
0x4d6f7aca01f62b20,9,0.4928,0.815,0.5141,0.8068
0x4d6f7aca01f62b20,10,0.491,0.8155,0.5087,0.8098
0x36dff34c4e556991,1,0.538,0.8024,0.7412,0.7368
0x36dff34c4e556991,2,0.5089,0.8066,0.551,0.7973
0x36dff34c4e556991,3,0.4943,0.8134,0.5268,0.8058
0x36dff34c4e556991,4,0.4983,0.8114,0.5144,0.8111
0x36dff34c4e556991,5,0.4823,0.8196,0.5055,0.8127
0x36dff34c4e556991,6,0.4749,0.8209,0.4993,0.8147
0x36dff34c4e556991,7,0.4715,0.8239,0.4937,0.8171
0x36dff34c4e556991,8,0.4742,0.8231,0.4885,0.8199
0x36dff34c4e556991,9,0.48,0.8239,0.4848,0.8221
0x36dff34c4e556991,10,0.4697,0.8271,0.4826,0.8215
0xbab00bf3be1b4e7,1,0.5972,0.782,0.988,0.6559
0xbab00bf3be1b4e7,2,0.551,0.7944,0.6956,0.7505
0xbab00bf3be1b4e7,3,0.5349,0.8026,0.6538,0.7639
0xbab00bf3be1b4e7,4,0.5249,0.8023,0.628,0.7727
0xbab00bf3be1b4e7,5,0.5118,0.8094,0.6134,0.7794
0xbab00bf3be1b4e7,6,0.505,0.8119,0.602,0.7825
0xbab00bf3be1b4e7,7,0.506,0.8131,0.5964,0.7863
0xbab00bf3be1b4e7,8,0.503,0.8151,0.5854,0.7907
0xbab00bf3be1b4e7,9,0.4978,0.8148,0.5852,0.7901
0xbab00bf3be1b4e7,10,0.498,0.8163,0.5772,0.7945
0x2be7e539bf006b87,1,0.6313,0.7679,1.0049,0.6434
0x2be7e539bf006b87,2,0.5859,0.7811,0.7303,0.7366
0x2be7e539bf006b87,3,0.5775,0.7851,0.6859,0.7533
