round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.4960394728660584,0.8238000273704529,0.5055747838377953,0.8344833,elu,32,0.1,10,200,3,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.44489464938640594,0.8381999731063843,0.43256949656804405,0.8470167,relu,64,0.1,10,200,2,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.4590941076278687,0.8345999717712402,0.5423746581236522,0.80755,elu,64,0.3,10,300,1,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.6458555733203888,0.7364000082015991,0.6858983765602111,0.7209167,relu,64,0.2,10,200,3,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.44624401903152466,0.8377000093460083,0.4664043537298838,0.8393667,elu,64,0.1,10,200,2,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5331766276836395,0.8202000260353088,0.7975801160097122,0.7812833,elu,32,0.1,10,300,3,200,softmax,10,categorical_crossentropy,Nadam,brick
10,1.1770583342075347,0.5284000039100647,1.3992484056631724,0.47133332,relu,16,0.2,10,200,0,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6890096998214722,0.7200000286102295,0.8366522164980571,0.6709167,elu,64,0.3,10,300,1,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.7574695529937744,0.705299973487854,0.9897598331451416,0.6153333,relu,64,0.3,10,300,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.821934050321579,0.7186999917030334,1.0599289569060009,0.62946665,elu,32,0.2,10,200,0,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5551739220619202,0.7860000133514404,0.6230596932411194,0.77145,elu,64,0.2,10,200,2,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6620293354988098,0.7386999726295471,0.7995854089419047,0.69958335,elu,64,0.3,10,200,3,300,softmax,10,categorical_crossentropy,Nadam,brick
