round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.7636589320659637,0.7077999711036682,0.9927773129622142,0.6243,elu,32,0.2,10,200,1,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4881046443760395,0.8396000266075134,0.5499686326250434,0.81016666,relu,16,0.1,10,300,2,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.5551806284427643,0.7967000007629395,0.8061705967823665,0.78968334,elu,32,0.1,10,300,2,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.7002266068935394,0.7407000064849854,0.7884520564635594,0.6914,elu,32,0.2,10,100,0,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.6525344156503677,0.7300000190734863,0.771560227795442,0.69906664,elu,16,0.3,10,300,2,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.5245198004245758,0.8108999729156494,0.5961566507498424,0.7856333,relu,32,0.2,10,200,2,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.9406006195068359,0.6198999881744385,1.1871124460220337,0.5341667,relu,32,0.3,10,100,1,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.6217546219825745,0.7738000154495239,0.6704917599042257,0.74835,elu,64,0.1,10,200,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.7739918315887451,0.6837000250816345,0.9947152214368185,0.62516665,elu,32,0.2,10,100,3,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.6094843057632446,0.8069000244140625,0.7855233254591624,0.7330667,relu,32,0.3,10,200,0,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.7707972921133042,0.7397000193595886,0.859750234456857,0.7064833,relu,16,0.2,10,300,0,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.47040121607780455,0.84170001745224,0.5236876955191294,0.81706667,elu,64,0.2,10,200,2,300,softmax,10,categorical_crossentropy,Adam,brick
