round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.4659759653568268,0.84170001745224,0.5482735188643137,0.80193335,elu,64,0.2,10,300,1,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.559973763370514,0.7533000111579895,0.6068807214101155,0.74365,relu,64,0.2,10,200,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.8283725371360778,0.7020999789237976,0.7588198550542196,0.68675,elu,64,0.3,10,100,2,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.5769706515312195,0.7904999852180481,0.6146513137499492,0.77056664,relu,64,0.3,10,300,3,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.6516455231189727,0.7335000038146973,0.6507560273249944,0.75731665,elu,32,0.2,10,300,1,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.5105952806949615,0.8119000196456909,0.5676314585367839,0.7840833,relu,64,0.2,10,200,2,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.5883011442184448,0.753000020980835,0.6526639821370442,0.72875,relu,64,0.3,10,300,3,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.8453068704605102,0.6541000008583069,1.1043947231292726,0.5592667,elu,32,0.3,10,200,1,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5906784313678741,0.7760000228881836,0.7099882119735083,0.7364333,elu,32,0.3,10,200,2,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.79601980676651,0.7139000296592712,0.9928841366807619,0.6441,elu,16,0.3,10,300,0,100,softmax,10,categorical_crossentropy,Adam,brick
