id,epoch,val_loss,val_acc,loss,acc
0x63d676f255b7e72e,1,0.7232,0.705,1.6598,0.6187
0x63d676f255b7e72e,2,0.8402,0.6995,0.8827,0.6695
0x63d676f255b7e72e,3,0.6266,0.7416,0.8413,0.6851
0x63d676f255b7e72e,4,0.6427,0.7305,0.7727,0.7004
0x63d676f255b7e72e,5,0.6316,0.7411,0.7498,0.7075
0x63d676f255b7e72e,6,0.6007,0.7433,0.7326,0.7111
0x63d676f255b7e72e,7,0.6148,0.7454,0.7312,0.7099
0x63d676f255b7e72e,8,0.616,0.7446,0.7256,0.7134
0x63d676f255b7e72e,9,0.5965,0.7483,0.7281,0.712
0x63d676f255b7e72e,10,0.6226,0.7434,0.7146,0.7194
0x37e6151cc4847d20,1,0.9527,0.6386,2.1742,0.4782
0x37e6151cc4847d20,2,0.7887,0.6843,1.2847,0.5334
0x37e6151cc4847d20,3,0.8509,0.6819,1.2,0.5438
0x37e6151cc4847d20,4,0.776,0.7206,1.1501,0.5713
0x37e6151cc4847d20,5,0.8604,0.6313,1.1227,0.5833
0x37e6151cc4847d20,6,0.8985,0.6699,1.1274,0.5783
0x37e6151cc4847d20,7,0.7571,0.7101,1.1305,0.5784
0x37e6151cc4847d20,8,0.7982,0.7011,1.1094,0.5878
0x37e6151cc4847d20,9,0.8521,0.6819,1.0826,0.5991
0x37e6151cc4847d20,10,0.9446,0.6676,1.1089,0.5953
0x2e6b7aa233ca276,1,0.7632,0.6851,1.4787,0.5912
0x2e6b7aa233ca276,2,0.6402,0.7389,0.7866,0.6861
0x2e6b7aa233ca276,3,0.6537,0.7246,0.72,0.705
0x2e6b7aa233ca276,4,0.6835,0.7306,0.6978,0.7148
0x2e6b7aa233ca276,5,0.5452,0.7926,0.6643,0.7374
0x2e6b7aa233ca276,6,0.5417,0.7965,0.6168,0.7704
0x2e6b7aa233ca276,7,0.5337,0.8006,0.6011,0.7757
0x2e6b7aa233ca276,8,0.5016,0.8198,0.5959,0.7831
0x2e6b7aa233ca276,9,0.496,0.8229,0.5908,0.7844
0x2e6b7aa233ca276,10,0.5571,0.7671,0.5796,0.7877
0x46037178357bb569,1,0.9038,0.6171,2.5294,0.476
0x46037178357bb569,2,0.8775,0.6324,1.0461,0.5814
0x46037178357bb569,3,0.8225,0.6516,0.9581,0.6042
0x46037178357bb569,4,0.7491,0.7108,0.8563,0.6606
0x46037178357bb569,5,0.7036,0.7247,0.8263,0.6757
0x46037178357bb569,6,0.6698,0.7176,0.7888,0.6898
0x46037178357bb569,7,0.6451,0.7295,0.7711,0.6964
0x46037178357bb569,8,0.6715,0.7331,0.7546,0.7031
0x46037178357bb569,9,0.6478,0.7426,0.7403,0.7075
0x46037178357bb569,10,0.6398,0.7411,0.7376,0.7082
0x565de331ec12569d,1,1.1131,0.5281,1.8885,0.4966
0x565de331ec12569d,2,1.2375,0.4826,1.3408,0.4478
0x565de331ec12569d,3,0.8668,0.6234,1.1872,0.5274
0x565de331ec12569d,4,0.9211,0.6142,1.0854,0.553
0x565de331ec12569d,5,0.9149,0.6311,1.0783,0.5675
0x565de331ec12569d,6,1.0401,0.5345,1.092,0.5493
0x565de331ec12569d,7,1.004,0.5544,1.067,0.5561
0x565de331ec12569d,8,0.9468,0.6361,1.0959,0.5567
0x565de331ec12569d,9,0.8733,0.6567,1.0846,0.5735
0x565de331ec12569d,10,1.0426,0.5655,1.0602,0.5696
0x3e9058a8b2c039ca,1,0.8629,0.6961,3.5893,0.5955
0x3e9058a8b2c039ca,2,0.7527,0.7192,0.8956,0.6618
0x3e9058a8b2c039ca,3,0.6827,0.7478,0.7908,0.6915
0x3e9058a8b2c039ca,4,0.6387,0.7611,0.7415,0.7106
0x3e9058a8b2c039ca,5,0.6871,0.7769,0.7105,0.7306
0x3e9058a8b2c039ca,6,0.5528,0.7944,0.6785,0.7514
0x3e9058a8b2c039ca,7,0.5356,0.8214,0.6274,0.7846
0x3e9058a8b2c039ca,8,0.5,0.8414,0.6149,0.7894
0x3e9058a8b2c039ca,9,0.4849,0.8396,0.5892,0.798
0x3e9058a8b2c039ca,10,0.49,0.8451,0.5822,0.8031
0x7efc5644da15cd18,1,1.9486,0.3107,2.5848,0.3161
0x7efc5644da15cd18,2,1.3622,0.4521,1.7532,0.3282
0x7efc5644da15cd18,3,1.3755,0.428,1.6897,0.352
0x7efc5644da15cd18,4,1.3929,0.4481,1.6681,0.3539
0x7efc5644da15cd18,5,1.3757,0.4514,1.6453,0.3654
0x7efc5644da15cd18,6,1.3764,0.4454,1.6431,0.3691
0x7efc5644da15cd18,7,1.4219,0.4452,1.7261,0.3584
0x7efc5644da15cd18,8,1.4044,0.4541,1.7427,0.35
0x7efc5644da15cd18,9,1.4351,0.4466,1.7432,0.3531
0x7efc5644da15cd18,10,1.4697,0.4489,1.7488,0.3521
0x62841df5511e354c,1,0.993,0.5972,2.3302,0.4577
0x62841df5511e354c,2,0.7617,0.7081,1.15,0.5558
0x62841df5511e354c,3,0.7557,0.7199,0.9948,0.6234
0x62841df5511e354c,4,0.7284,0.7238,0.9555,0.6416
0x62841df5511e354c,5,0.7155,0.7278,0.9524,0.6426
0x62841df5511e354c,6,0.6885,0.7172,0.9245,0.653
0x62841df5511e354c,7,0.71,0.7156,0.9039,0.6519
0x62841df5511e354c,8,0.7271,0.6984,0.9022,0.6535
0x62841df5511e354c,9,0.7129,0.7236,0.8987,0.6525
0x62841df5511e354c,10,0.7108,0.7186,0.9095,0.6516
0x576d1fbebcf649d8,1,0.8453,0.6694,4.1505,0.5368
0x576d1fbebcf649d8,2,0.6849,0.6929,1.0435,0.6282
0x576d1fbebcf649d8,3,0.6061,0.7614,0.8688,0.6809
0x576d1fbebcf649d8,4,0.5577,0.7796,0.7756,0.7122
0x576d1fbebcf649d8,5,0.5359,0.7889,0.7037,0.7407
