id,epoch,val_loss,val_acc,loss,acc
0x1c3fb5966c2338fc,1,0.5284,0.7985,0.6846,0.7547
0x1c3fb5966c2338fc,2,0.5128,0.8126,0.5723,0.7956
0x1c3fb5966c2338fc,3,0.5033,0.8093,0.5551,0.8008
0x1c3fb5966c2338fc,4,0.501,0.8148,0.5476,0.8047
0x1c3fb5966c2338fc,5,0.4941,0.8179,0.5466,0.8034
0x1c3fb5966c2338fc,6,0.4935,0.8201,0.5406,0.8061
0x1c3fb5966c2338fc,7,0.5024,0.8097,0.5333,0.8078
0x1c3fb5966c2338fc,8,0.4852,0.8181,0.5346,0.8078
0x1c3fb5966c2338fc,9,0.496,0.8223,0.5332,0.8092
0x1c3fb5966c2338fc,10,0.4835,0.8191,0.5299,0.8091
0x5b678be1bb32dc7c,1,0.5813,0.7982,0.6632,0.7758
0x5b678be1bb32dc7c,2,0.5519,0.7994,0.5629,0.7939
0x5b678be1bb32dc7c,3,0.5272,0.8094,0.5422,0.8001
0x5b678be1bb32dc7c,4,0.5271,0.8073,0.5312,0.8021
0x5b678be1bb32dc7c,5,0.5233,0.8081,0.5247,0.8029
0x5b678be1bb32dc7c,6,0.5112,0.8131,0.5196,0.8055
0x5b678be1bb32dc7c,7,0.5137,0.8096,0.5146,0.8065
0x5b678be1bb32dc7c,8,0.5053,0.8134,0.5113,0.8055
0x5b678be1bb32dc7c,9,0.5115,0.8109,0.508,0.808
0x5b678be1bb32dc7c,10,0.5025,0.8154,0.5053,0.809
0x42758778c1c95682,1,0.5962,0.7959,0.7941,0.752
0x42758778c1c95682,2,0.541,0.804,0.5713,0.7932
0x42758778c1c95682,3,0.5204,0.8103,0.5348,0.8022
0x42758778c1c95682,4,0.5051,0.8156,0.5163,0.8081
0x42758778c1c95682,5,0.497,0.8168,0.5028,0.8123
0x42758778c1c95682,6,0.4888,0.8184,0.4944,0.8133
0x42758778c1c95682,7,0.4887,0.8193,0.4899,0.8148
0x42758778c1c95682,8,0.4817,0.8213,0.4836,0.8176
0x42758778c1c95682,9,0.4763,0.8221,0.479,0.8183
0x42758778c1c95682,10,0.4786,0.8211,0.4758,0.8205
0x4970bf5f2763b121,1,0.5327,0.7976,0.7048,0.7565
0x4970bf5f2763b121,2,0.4948,0.8162,0.5442,0.7965
0x4970bf5f2763b121,3,0.4903,0.8155,0.5211,0.8062
0x4970bf5f2763b121,4,0.4824,0.8201,0.5114,0.8093
0x4970bf5f2763b121,5,0.4772,0.8226,0.4993,0.813
0x4970bf5f2763b121,6,0.4724,0.8215,0.4965,0.8164
0x4970bf5f2763b121,7,0.4674,0.8251,0.4886,0.8188
0x4970bf5f2763b121,8,0.4662,0.8246,0.4842,0.8207
0x4970bf5f2763b121,9,0.4621,0.8284,0.481,0.8209
0x4970bf5f2763b121,10,0.4639,0.8258,0.479,0.8212
0x66bb87dc2e959662,1,0.5939,0.7931,0.7041,0.7664
0x66bb87dc2e959662,2,0.5526,0.8033,0.5723,0.7934
0x66bb87dc2e959662,3,0.5402,0.8072,0.5536,0.7972
0x66bb87dc2e959662,4,0.5364,0.8051,0.5412,0.8014
0x66bb87dc2e959662,5,0.5276,0.8086,0.5336,0.8019
0x66bb87dc2e959662,6,0.5225,0.8117,0.5285,0.8034
0x66bb87dc2e959662,7,0.5165,0.8113,0.5239,0.8049
0x66bb87dc2e959662,8,0.5185,0.8073,0.5213,0.8059
0x66bb87dc2e959662,9,0.5103,0.8134,0.5173,0.8064
0x66bb87dc2e959662,10,0.5082,0.8155,0.516,0.8059
0x4c3940df72c49045,1,0.5476,0.7991,0.6994,0.7493
0x4c3940df72c49045,2,0.5382,0.7972,0.596,0.7796
0x4c3940df72c49045,3,0.5219,0.802,0.5739,0.7876
0x4c3940df72c49045,4,0.5151,0.808,0.5612,0.7925
0x4c3940df72c49045,5,0.5101,0.8095,0.5558,0.7936
0x4c3940df72c49045,6,0.5087,0.8087,0.5495,0.7961
0x4c3940df72c49045,7,0.5028,0.8099,0.5445,0.7971
0x4c3940df72c49045,8,0.5057,0.8109,0.5403,0.8008
0x4c3940df72c49045,9,0.4857,0.8177,0.5382,0.8018
0x4c3940df72c49045,10,0.4993,0.8106,0.5346,0.8023
0x1801a49f30629f9e,1,0.5206,0.8091,0.7208,0.7521
0x1801a49f30629f9e,2,0.4936,0.8141,0.5301,0.7997
0x1801a49f30629f9e,3,0.4935,0.8161,0.5043,0.81
0x1801a49f30629f9e,4,0.4779,0.8175,0.4912,0.8157
0x1801a49f30629f9e,5,0.468,0.8256,0.4813,0.819
0x1801a49f30629f9e,6,0.4648,0.8272,0.4763,0.8216
0x1801a49f30629f9e,7,0.4636,0.8279,0.4689,0.8234
0x1801a49f30629f9e,8,0.4582,0.8293,0.4633,0.8256
0x1801a49f30629f9e,9,0.4559,0.8279,0.462,0.8266
0x1801a49f30629f9e,10,0.4578,0.8278,0.4551,0.8279
0x3ab0e3915e463cd7,1,0.5182,0.8048,0.6583,0.7664
0x3ab0e3915e463cd7,2,0.4908,0.8185,0.5145,0.8077
0x3ab0e3915e463cd7,3,0.4875,0.8181,0.4979,0.812
0x3ab0e3915e463cd7,4,0.474,0.8217,0.483,0.819
0x3ab0e3915e463cd7,5,0.4742,0.8218,0.4762,0.8208
0x3ab0e3915e463cd7,6,0.4788,0.8236,0.4704,0.8227
0x3ab0e3915e463cd7,7,0.473,0.8227,0.4644,0.8254
0x3ab0e3915e463cd7,8,0.4684,0.8263,0.4602,0.8278
0x3ab0e3915e463cd7,9,0.4583,0.8289,0.4541,0.8294
0x3ab0e3915e463cd7,10,0.4596,0.8284,0.451,0.8302
0x182f7fb1e13d714f,1,0.5468,0.7994,0.6269,0.7713
0x182f7fb1e13d714f,2,0.5403,0.798,0.5597,0.7906
0x182f7fb1e13d714f,3,0.5095,0.8104,0.5451,0.7956
0x182f7fb1e13d714f,4,0.5061,0.8097,0.5334,0.8006
0x182f7fb1e13d714f,5,0.5155,0.8106,0.5284,0.8024
0x182f7fb1e13d714f,6,0.5075,0.8096,0.522,0.8052
0x182f7fb1e13d714f,7,0.4999,0.8146,0.52,0.8048
0x182f7fb1e13d714f,8,0.5049,0.8093,0.515,0.8069
0x182f7fb1e13d714f,9,0.5114,0.8069,0.5125,0.8073
0x182f7fb1e13d714f,10,0.4871,0.8157,0.5102,0.8095
0x401724e11cead759,1,0.5724,0.7943,0.705,0.7611
0x401724e11cead759,2,0.5512,0.8001,0.5684,0.7922
0x401724e11cead759,3,0.5267,0.808,0.5485,0.795
0x401724e11cead759,4,0.5243,0.8078,0.5351,0.8002
0x401724e11cead759,5,0.5152,0.8124,0.5291,0.8013
0x401724e11cead759,6,0.5176,0.8086,0.5207,0.8038
0x401724e11cead759,7,0.5031,0.8135,0.5161,0.8051
0x401724e11cead759,8,0.5039,0.813,0.5115,0.806
0x401724e11cead759,9,0.4965,0.8166,0.5088,0.8067
0x401724e11cead759,10,0.4999,0.8156,0.504,0.8089
0x286d9489d660871,1,0.5461,0.7996,0.6829,0.7575
0x286d9489d660871,2,0.5201,0.8043,0.5766,0.7852
0x286d9489d660871,3,0.5161,0.8069,0.556,0.7934
0x286d9489d660871,4,0.5018,0.8116,0.5464,0.7963
0x286d9489d660871,5,0.5018,0.8124,0.5384,0.7992
0x286d9489d660871,6,0.4969,0.8144,0.5305,0.8024
0x286d9489d660871,7,0.4985,0.8153,0.53,0.8023
0x286d9489d660871,8,0.4996,0.8151,0.5245,0.8036
0x286d9489d660871,9,0.4927,0.8129,0.5237,0.8041
0x286d9489d660871,10,0.4909,0.8134,0.5175,0.8058
0x35afaf872bb8a0d7,1,0.5319,0.8018,0.6365,0.7724
0x35afaf872bb8a0d7,2,0.5247,0.8133,0.5627,0.7974
0x35afaf872bb8a0d7,3,0.5082,0.806,0.5543,0.8016
0x35afaf872bb8a0d7,4,0.5015,0.8152,0.5499,0.8045
0x35afaf872bb8a0d7,5,0.5175,0.8137,0.5468,0.8052
0x35afaf872bb8a0d7,6,0.5018,0.8194,0.5463,0.8053
0x35afaf872bb8a0d7,7,0.5014,0.8173,0.5404,0.8063
0x35afaf872bb8a0d7,8,0.4964,0.8185,0.5388,0.8058
0x35afaf872bb8a0d7,9,0.4974,0.8198,0.5374,0.8091
0x35afaf872bb8a0d7,10,0.4962,0.8203,0.5388,0.8093
0x690125dce3b0da5f,1,0.5296,0.7996,0.6247,0.7746
0x690125dce3b0da5f,2,0.4982,0.8132,0.5355,0.8017
0x690125dce3b0da5f,3,0.4978,0.8156,0.5196,0.8073
0x690125dce3b0da5f,4,0.4846,0.8171,0.5141,0.8096
0x690125dce3b0da5f,5,0.483,0.8154,0.5075,0.8117
0x690125dce3b0da5f,6,0.4741,0.823,0.5032,0.8121
0x690125dce3b0da5f,7,0.4727,0.8222,0.499,0.8134
0x690125dce3b0da5f,8,0.4683,0.8263,0.496,0.8134
0x690125dce3b0da5f,9,0.4745,0.8244,0.4939,0.8142
0x690125dce3b0da5f,10,0.4751,0.8212,0.4927,0.8166
0x2d74d0289f388ddf,1,0.5762,0.7947,0.7032,0.7592
0x2d74d0289f388ddf,2,0.5471,0.8029,0.5869,0.7859
0x2d74d0289f388ddf,3,0.5345,0.8056,0.5661,0.7927
0x2d74d0289f388ddf,4,0.5225,0.8066,0.5535,0.797
0x2d74d0289f388ddf,5,0.5186,0.8094,0.5416,0.7991
0x2d74d0289f388ddf,6,0.5216,0.8088,0.5354,0.7994
0x2d74d0289f388ddf,7,0.5139,0.8118,0.5295,0.8019
0x2d74d0289f388ddf,8,0.5091,0.8088,0.5253,0.8026
0x2d74d0289f388ddf,9,0.5004,0.8159,0.5209,0.8042
0x2d74d0289f388ddf,10,0.5077,0.8102,0.5194,0.8037
0x3fb2c243bd974a36,1,0.5124,0.8089,0.6446,0.7712
0x3fb2c243bd974a36,2,0.4984,0.8135,0.5236,0.8038
0x3fb2c243bd974a36,3,0.4854,0.8195,0.5062,0.81
0x3fb2c243bd974a36,4,0.4796,0.822,0.4945,0.8142
0x3fb2c243bd974a36,5,0.4718,0.8228,0.487,0.816
0x3fb2c243bd974a36,6,0.4703,0.8253,0.481,0.8203
0x3fb2c243bd974a36,7,0.4636,0.826,0.4782,0.8207
0x3fb2c243bd974a36,8,0.4641,0.8259,0.4727,0.8216
0x3fb2c243bd974a36,9,0.462,0.8284,0.4691,0.8229
0x3fb2c243bd974a36,10,0.4574,0.8314,0.4676,0.8253
0x6ba809bb8f78b7b5,1,0.5306,0.8045,0.674,0.7719
0x6ba809bb8f78b7b5,2,0.5105,0.8076,0.5172,0.8065
0x6ba809bb8f78b7b5,3,0.4855,0.821,0.4937,0.8143
0x6ba809bb8f78b7b5,4,0.4862,0.8176,0.4803,0.8186
0x6ba809bb8f78b7b5,5,0.4696,0.8245,0.4725,0.8213
0x6ba809bb8f78b7b5,6,0.462,0.8287,0.464,0.8248
0x6ba809bb8f78b7b5,7,0.4617,0.8269,0.4588,0.8267
0x6ba809bb8f78b7b5,8,0.4571,0.8276,0.4553,0.8275
0x6ba809bb8f78b7b5,9,0.4568,0.8254,0.4507,0.8299
0x6ba809bb8f78b7b5,10,0.4591,0.8273,0.445,0.8308
0x369af960b91632de,1,0.5232,0.8011,0.667,0.7641
0x369af960b91632de,2,0.4995,0.8121,0.5223,0.8056
0x369af960b91632de,3,0.4826,0.8175,0.5027,0.8128
0x369af960b91632de,4,0.4783,0.8248,0.4893,0.8178
0x369af960b91632de,5,0.4789,0.8239,0.4855,0.819
0x369af960b91632de,6,0.4743,0.8223,0.4763,0.8229
0x369af960b91632de,7,0.4717,0.8247,0.4716,0.8238
0x369af960b91632de,8,0.4647,0.8275,0.4676,0.8248
0x369af960b91632de,9,0.4588,0.8294,0.4628,0.8268
0x369af960b91632de,10,0.4582,0.8286,0.4572,0.8282
0x2d13d492f165541f,1,0.5386,0.8057,0.6312,0.7739
0x2d13d492f165541f,2,0.5334,0.805,0.5482,0.7946
0x2d13d492f165541f,3,0.5177,0.8091,0.5286,0.8012
0x2d13d492f165541f,4,0.5022,0.8143,0.5152,0.8055
0x2d13d492f165541f,5,0.5022,0.8115,0.5105,0.8084
0x2d13d492f165541f,6,0.4975,0.8166,0.5037,0.8106
0x2d13d492f165541f,7,0.501,0.8091,0.4996,0.8115
0x2d13d492f165541f,8,0.4895,0.8178,0.4943,0.8131
