id,epoch,val_loss,val_acc,loss,acc
0x6d602acd863472a,1,0.9744,0.6075,2.4135,0.4942
0x6d602acd863472a,2,0.8505,0.6586,1.1074,0.5772
0x6d602acd863472a,3,1.0064,0.6936,1.0027,0.6133
0x6d602acd863472a,4,0.8093,0.6772,0.9715,0.6149
0x6d602acd863472a,5,0.844,0.6985,0.9892,0.612
0x6d602acd863472a,6,0.825,0.6791,0.9605,0.6192
0x6d602acd863472a,7,0.8704,0.6535,0.9543,0.6276
0x6d602acd863472a,8,0.7389,0.6977,0.9296,0.634
0x6d602acd863472a,9,0.7723,0.6652,0.9438,0.6304
0x6d602acd863472a,10,0.7637,0.7078,0.9928,0.6243
0x84fe1053463cf20,1,0.6358,0.7629,1.4426,0.7119
0x84fe1053463cf20,2,0.5867,0.7881,0.6529,0.7666
0x84fe1053463cf20,3,0.53,0.8112,0.6195,0.7843
0x84fe1053463cf20,4,0.5192,0.8219,0.5845,0.7952
0x84fe1053463cf20,5,0.5215,0.8298,0.5709,0.7993
0x84fe1053463cf20,6,0.5042,0.8204,0.5678,0.8006
0x84fe1053463cf20,7,0.498,0.8384,0.5563,0.8041
0x84fe1053463cf20,8,0.5059,0.8237,0.546,0.8083
0x84fe1053463cf20,9,0.5771,0.8186,0.5519,0.8044
0x84fe1053463cf20,10,0.4881,0.8396,0.55,0.8102
0x11dd7115dc899221,1,0.5771,0.7992,1.6916,0.6727
0x11dd7115dc899221,2,0.5056,0.8199,0.6111,0.7818
0x11dd7115dc899221,3,0.6,0.7766,0.5923,0.7896
0x11dd7115dc899221,4,0.5096,0.8282,0.5845,0.7995
0x11dd7115dc899221,5,0.5891,0.7828,0.637,0.789
0x11dd7115dc899221,6,0.4923,0.8268,0.6055,0.7924
0x11dd7115dc899221,7,0.565,0.807,0.6297,0.794
0x11dd7115dc899221,8,0.5203,0.8228,0.8172,0.7741
0x11dd7115dc899221,9,0.4944,0.826,0.6175,0.7954
0x11dd7115dc899221,10,0.5552,0.7967,0.8062,0.7897
0x5d2a5af4006003ef,1,1.0967,0.6197,2.8813,0.5023
0x5d2a5af4006003ef,2,0.8036,0.6916,1.0916,0.6058
0x5d2a5af4006003ef,3,0.7358,0.7085,0.946,0.6418
0x5d2a5af4006003ef,4,0.708,0.7183,0.9022,0.6546
0x5d2a5af4006003ef,5,0.7283,0.6971,0.8422,0.6704
0x5d2a5af4006003ef,6,0.6964,0.7191,0.8348,0.676
0x5d2a5af4006003ef,7,0.6924,0.7203,0.8189,0.6846
0x5d2a5af4006003ef,8,0.7236,0.7371,0.8053,0.6895
0x5d2a5af4006003ef,9,0.6987,0.727,0.784,0.6933
0x5d2a5af4006003ef,10,0.7002,0.7407,0.7885,0.6914
0x157a3861cbf7fddd,1,0.7418,0.6987,2.7051,0.5227
0x157a3861cbf7fddd,2,0.6807,0.7213,0.9489,0.6376
0x157a3861cbf7fddd,3,0.6525,0.7271,0.8475,0.6681
0x157a3861cbf7fddd,4,0.6679,0.7368,0.82,0.6828
0x157a3861cbf7fddd,5,0.6347,0.7311,0.7924,0.69
0x157a3861cbf7fddd,6,0.6319,0.7317,0.7968,0.6938
0x157a3861cbf7fddd,7,0.6432,0.7393,0.7958,0.6953
0x157a3861cbf7fddd,8,0.6222,0.7423,0.7507,0.7004
0x157a3861cbf7fddd,9,0.6438,0.7423,0.7559,0.7028
0x157a3861cbf7fddd,10,0.6525,0.73,0.7716,0.6991
0x7e89be584dfbd91c,1,0.6849,0.7186,1.9368,0.6102
0x7e89be584dfbd91c,2,0.6468,0.7324,0.771,0.6988
0x7e89be584dfbd91c,3,0.6471,0.7474,0.7233,0.7182
0x7e89be584dfbd91c,4,0.6057,0.7696,0.6879,0.7306
0x7e89be584dfbd91c,5,0.6046,0.7217,0.6462,0.7487
0x7e89be584dfbd91c,6,0.5505,0.7917,0.6427,0.7559
0x7e89be584dfbd91c,7,0.5302,0.8092,0.6186,0.7726
0x7e89be584dfbd91c,8,0.548,0.7972,0.6042,0.7826
0x7e89be584dfbd91c,9,0.5323,0.8097,0.6074,0.7798
0x7e89be584dfbd91c,10,0.5245,0.8109,0.5962,0.7856
0x778bf7de5cd84e5b,1,1.7034,0.3332,2.6106,0.2892
0x778bf7de5cd84e5b,2,1.3596,0.456,1.7288,0.3438
0x778bf7de5cd84e5b,3,1.1765,0.5271,1.5142,0.4027
0x778bf7de5cd84e5b,4,1.1009,0.5452,1.4192,0.4294
0x778bf7de5cd84e5b,5,1.0819,0.5512,1.3374,0.4552
0x778bf7de5cd84e5b,6,1.0494,0.5494,1.2989,0.4675
0x778bf7de5cd84e5b,7,0.9665,0.6189,1.2356,0.5032
0x778bf7de5cd84e5b,8,0.9368,0.6294,1.1888,0.5263
0x778bf7de5cd84e5b,9,0.947,0.598,1.1769,0.5289
0x778bf7de5cd84e5b,10,0.9406,0.6199,1.1871,0.5342
0x2a492ac99662a03f,1,0.8385,0.7038,2.3369,0.6342
0x2a492ac99662a03f,2,0.7183,0.7172,0.9184,0.6864
0x2a492ac99662a03f,3,0.6731,0.7292,0.7874,0.6897
0x2a492ac99662a03f,4,0.6553,0.7211,0.755,0.7013
0x2a492ac99662a03f,5,0.6605,0.7163,0.7347,0.7076
0x2a492ac99662a03f,6,0.648,0.7325,0.7121,0.711
0x2a492ac99662a03f,7,0.6232,0.7713,0.6906,0.7237
0x2a492ac99662a03f,8,0.6153,0.7621,0.7413,0.7238
0x2a492ac99662a03f,9,0.6316,0.7686,0.6741,0.7529
0x2a492ac99662a03f,10,0.6218,0.7738,0.6705,0.7484
0x21086cf81b6d4495,1,0.7374,0.7075,1.4555,0.5541
0x21086cf81b6d4495,2,0.7562,0.7177,0.9128,0.6506
0x21086cf81b6d4495,3,0.69,0.7244,0.9054,0.6511
0x21086cf81b6d4495,4,0.746,0.729,0.9089,0.6506
0x21086cf81b6d4495,5,0.7949,0.6943,0.9405,0.6496
0x21086cf81b6d4495,6,0.742,0.6991,0.9504,0.6418
0x21086cf81b6d4495,7,0.7596,0.7247,1.4699,0.6095
0x21086cf81b6d4495,8,0.7011,0.7189,0.964,0.6308
0x21086cf81b6d4495,9,0.7024,0.7151,0.9302,0.638
0x21086cf81b6d4495,10,0.774,0.6837,0.9947,0.6252
0x1dca7cdab353bf18,1,0.8318,0.6993,3.0169,0.5906
0x1dca7cdab353bf18,2,0.9083,0.6873,0.9439,0.6393
0x1dca7cdab353bf18,3,0.7064,0.7371,0.9031,0.6562
0x1dca7cdab353bf18,4,0.6614,0.751,0.8641,0.6841
0x1dca7cdab353bf18,5,0.7638,0.7576,0.8434,0.7009
