round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.48351067015102933,0.8191428780555725,0.529871934154204,0.8090714,relu,32,0.3,10,300,3,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5024844200270516,0.8153571486473083,0.505339668231351,0.80898213,elu,32,0.1,10,300,0,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.47858965706825257,0.821071445941925,0.47576014750344414,0.8204643,relu,128,0.3,10,300,0,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.4639260505267552,0.8257856965065002,0.4789967988559178,0.82119644,relu,128,0.3,10,200,1,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5082469902379172,0.815500020980835,0.5159650325093951,0.8059107,elu,128,0.2,10,300,0,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49934635659626553,0.8106428384780884,0.534626533806324,0.80225,elu,32,0.3,10,200,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.4578316592829568,0.8277857303619385,0.455140013217926,0.82792854,relu,128,0.1,10,200,2,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.45957314252853393,0.8284285664558411,0.4510041892869132,0.83017856,relu,128,0.1,10,200,3,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.4870953910010202,0.8157142996788025,0.5102335511360849,0.8094643,elu,32,0.2,10,300,2,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.4999170173917498,0.8155714273452759,0.5039663690839495,0.808875,elu,128,0.1,10,100,1,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.49093156944002425,0.8133571147918701,0.517544182913644,0.80576783,elu,128,0.3,10,300,2,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49616113334042683,0.8202857375144958,0.5388320535421371,0.8092857,relu,32,0.3,10,300,3,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.47508157413346425,0.8212142586708069,0.4927135940364429,0.8165536,relu,32,0.3,10,100,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5076791114125933,0.8102142810821533,0.5194474667140416,0.8036607,elu,128,0.3,10,200,1,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.4574162219592503,0.831428587436676,0.46759786367416384,0.82528573,relu,128,0.3,10,200,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4591230591705867,0.8272857069969177,0.44496611676897324,0.83075,relu,128,0.1,10,300,1,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.45816928233419146,0.8286428451538086,0.45720787806170327,0.82825,relu,64,0.1,10,200,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.4854219308580671,0.8182142972946167,0.4869530336175646,0.81542856,elu,128,0.1,10,200,2,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.45738670236723766,0.8285714387893677,0.44366969796589445,0.83105356,relu,64,0.1,10,200,2,200,softmax,10,categorical_crossentropy,Adam,brick
10,0.4750011631931577,0.8255714178085327,0.48057960609453065,0.82267857,relu,32,0.1,10,100,3,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49107790892464775,0.8203571438789368,0.48883501609734126,0.81625,elu,64,0.1,10,200,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4977093562398638,0.8171428442001343,0.5038269410303661,0.80966073,elu,64,0.1,10,100,0,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.46703522515296936,0.824571430683136,0.48667988736288886,0.8206071,relu,128,0.3,10,300,2,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.4814705423627581,0.8208571672439575,0.5139009978430612,0.8069643,elu,128,0.2,10,200,3,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.4958991211482457,0.8128571510314941,0.4834551828929356,0.816375,elu,128,0.1,10,300,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.517105488709041,0.8111428618431091,0.5229083112989154,0.8052857,elu,128,0.3,10,300,0,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.46523227991376603,0.8282142877578735,0.48507205191680364,0.81889284,relu,64,0.3,10,100,1,200,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4695050259317671,0.8248571157455444,0.49571201975005014,0.81614286,relu,64,0.3,10,100,2,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5237413428851536,0.8084285855293274,0.5164032096862793,0.80642855,elu,128,0.1,10,300,0,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.5261433448110308,0.8070714473724365,0.5259893548829215,0.803625,elu,128,0.2,10,300,0,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.48938251178605213,0.8155714273452759,0.4913627386774336,0.8140714,elu,128,0.1,10,200,2,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.5165708429472787,0.8119999766349792,0.5177907243285861,0.80794644,elu,64,0.2,10,300,0,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.4677767994744437,0.8243571519851685,0.49237248893295016,0.8166786,relu,32,0.3,10,100,1,100,softmax,10,categorical_crossentropy,Adam,brick
10,0.5081704222134181,0.8150714039802551,0.5038916554450988,0.81123215,elu,64,0.2,10,200,1,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.514682442852429,0.8156428337097168,0.5478809576502868,0.80175,elu,32,0.1,10,200,3,300,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4740618907213211,0.8239285945892334,0.49085734076159343,0.8185,relu,32,0.2,10,100,2,100,softmax,10,categorical_crossentropy,Nadam,brick
10,0.46755418283598765,0.826714277267456,0.46187586562974114,0.8249643,relu,64,0.1,10,200,0,300,softmax,10,categorical_crossentropy,Adam,brick
10,0.4621600755623409,0.8282856941223145,0.4583898267873696,0.826625,relu,32,0.1,10,100,1,100,softmax,10,categorical_crossentropy,Nadam,brick
