id,epoch,val_loss,val_acc,loss,acc
0xb4c941b82a8c936,1,0.9788,0.6239,3.239,0.5301
0xb4c941b82a8c936,2,0.7777,0.6985,1.1074,0.5973
0xb4c941b82a8c936,3,0.7236,0.7203,0.9414,0.6423
0xb4c941b82a8c936,4,0.7113,0.728,0.8999,0.6516
0xb4c941b82a8c936,5,0.7332,0.7128,0.8817,0.6528
0xb4c941b82a8c936,6,0.6783,0.7221,0.8648,0.6579
0xb4c941b82a8c936,7,0.6713,0.7217,0.8393,0.6679
0xb4c941b82a8c936,8,0.6663,0.7295,0.8688,0.6586
0xb4c941b82a8c936,9,0.6989,0.7177,0.8502,0.6648
0xb4c941b82a8c936,10,0.6632,0.7334,0.8388,0.6723
0x2182f0f5eeecd753,1,0.6477,0.7419,2.6593,0.6449
0x2182f0f5eeecd753,2,0.5859,0.7666,0.7003,0.7376
0x2182f0f5eeecd753,3,0.5485,0.8029,0.6155,0.7745
0x2182f0f5eeecd753,4,0.4934,0.8269,0.5521,0.8017
0x2182f0f5eeecd753,5,0.4609,0.8355,0.5313,0.8122
0x2182f0f5eeecd753,6,0.4643,0.8377,0.5126,0.8165
0x2182f0f5eeecd753,7,0.4609,0.8329,0.5089,0.8197
0x2182f0f5eeecd753,8,0.4817,0.8394,0.5063,0.8218
0x2182f0f5eeecd753,9,0.4502,0.8478,0.4846,0.8261
0x2182f0f5eeecd753,10,0.491,0.8317,0.4952,0.8274
0x7c1e8c9b5093d7cb,1,0.8952,0.6403,1.6692,0.4906
0x7c1e8c9b5093d7cb,2,0.9017,0.6207,1.1359,0.5496
0x7c1e8c9b5093d7cb,3,0.9009,0.6249,1.1333,0.5522
0x7c1e8c9b5093d7cb,4,0.8949,0.6299,1.13,0.5514
0x7c1e8c9b5093d7cb,5,0.904,0.6233,1.1178,0.5582
0x7c1e8c9b5093d7cb,6,0.933,0.6225,1.1014,0.5646
0x7c1e8c9b5093d7cb,7,0.8719,0.6312,1.1363,0.5589
0x7c1e8c9b5093d7cb,8,0.938,0.617,1.1331,0.5586
0x7c1e8c9b5093d7cb,9,0.8982,0.6419,1.1236,0.5631
0x7c1e8c9b5093d7cb,10,0.9264,0.6122,1.1424,0.5449
0x6ccdbd123af74cdb,1,0.9518,0.6534,2.893,0.5649
0x6ccdbd123af74cdb,2,0.8264,0.6636,1.0083,0.6298
0x6ccdbd123af74cdb,3,0.7601,0.703,0.9146,0.647
0x6ccdbd123af74cdb,4,0.963,0.6911,0.8496,0.6648
0x6ccdbd123af74cdb,5,0.6902,0.7233,0.8073,0.6757
0x6ccdbd123af74cdb,6,0.6427,0.7385,0.7906,0.6828
0x6ccdbd123af74cdb,7,0.6638,0.7309,0.7652,0.6901
0x6ccdbd123af74cdb,8,0.6645,0.7396,0.7688,0.6908
0x6ccdbd123af74cdb,9,0.6709,0.7246,0.7538,0.6978
0x6ccdbd123af74cdb,10,0.6403,0.751,0.7491,0.6999
0x3d77b1b26dd60e3f,1,0.7202,0.7517,4.4521,0.6568
0x3d77b1b26dd60e3f,2,9.2609,0.5682,0.8923,0.6969
0x3d77b1b26dd60e3f,3,0.6295,0.7723,0.8535,0.6977
0x3d77b1b26dd60e3f,4,0.6233,0.7875,0.8221,0.7098
0x3d77b1b26dd60e3f,5,0.6216,0.7605,0.8119,0.7071
0x3d77b1b26dd60e3f,6,0.5938,0.7997,0.8458,0.6905
0x3d77b1b26dd60e3f,7,0.8283,0.7218,0.8592,0.6948
0x3d77b1b26dd60e3f,8,0.6058,0.7844,0.8334,0.6975
0x3d77b1b26dd60e3f,9,0.6121,0.7581,0.8662,0.6938
0x3d77b1b26dd60e3f,10,0.6251,0.7907,0.8395,0.6952
0x246540f6e57df238,1,0.6489,0.7734,2.3282,0.6524
0x246540f6e57df238,2,0.5592,0.8157,0.7217,0.7452
0x246540f6e57df238,3,0.5262,0.8175,0.6551,0.7668
0x246540f6e57df238,4,0.5603,0.8004,0.6322,0.7765
0x246540f6e57df238,5,0.5794,0.8141,0.6198,0.7817
0x246540f6e57df238,6,0.4951,0.8326,0.592,0.7918
0x246540f6e57df238,7,0.5099,0.8395,0.5856,0.795
0x246540f6e57df238,8,0.5243,0.8325,0.5908,0.7972
0x246540f6e57df238,9,0.589,0.8082,0.6564,0.7853
0x246540f6e57df238,10,0.4923,0.8375,0.6047,0.7873
0x15d26a965ee8f974,1,0.5782,0.7991,1.4456,0.704
0x15d26a965ee8f974,2,0.4721,0.8294,0.5809,0.7923
0x15d26a965ee8f974,3,0.4962,0.8157,0.5272,0.8088
0x15d26a965ee8f974,4,0.4994,0.8247,0.492,0.8216
0x15d26a965ee8f974,5,0.4936,0.8337,0.4861,0.8287
0x15d26a965ee8f974,6,0.4521,0.8468,0.4731,0.8337
0x15d26a965ee8f974,7,0.4922,0.8299,0.4956,0.8291
0x15d26a965ee8f974,8,0.4659,0.8377,0.4858,0.8326
0x15d26a965ee8f974,9,0.4659,0.8444,0.4708,0.8361
0x15d26a965ee8f974,10,0.5083,0.8081,0.686,0.7421
0x20ba5510b3f22989,1,0.7037,0.744,2.0891,0.6445
0x20ba5510b3f22989,2,0.5463,0.7944,0.716,0.7406
0x20ba5510b3f22989,3,0.5435,0.8199,0.614,0.7722
0x20ba5510b3f22989,4,0.4984,0.8282,0.5806,0.7905
0x20ba5510b3f22989,5,0.4854,0.8285,0.5386,0.807
0x20ba5510b3f22989,6,0.4803,0.827,0.5153,0.8153
0x20ba5510b3f22989,7,0.4605,0.8408,0.4887,0.8246
0x20ba5510b3f22989,8,0.4223,0.8464,0.4736,0.8325
0x20ba5510b3f22989,9,0.4405,0.8483,0.4704,0.8322
0x20ba5510b3f22989,10,0.4388,0.842,0.4607,0.8358
0x207cdf2449496076,1,0.9485,0.6642,2.6026,0.5809
0x207cdf2449496076,2,0.8386,0.6769,1.0165,0.6268
0x207cdf2449496076,3,0.8065,0.7156,0.9129,0.6528
0x207cdf2449496076,4,0.8062,0.7184,0.8877,0.659
0x207cdf2449496076,5,0.7283,0.7239,0.861,0.6656
0x207cdf2449496076,6,0.6959,0.7189,0.8335,0.6754
0x207cdf2449496076,7,0.6786,0.7206,0.8256,0.6782
0x207cdf2449496076,8,0.7478,0.7071,0.8203,0.6789
0x207cdf2449496076,9,0.664,0.7364,0.8157,0.6822
0x207cdf2449496076,10,0.6761,0.7372,0.7988,0.6878
0x5eace35f9cae4f44,1,0.6515,0.7298,1.2668,0.6339
0x5eace35f9cae4f44,2,0.6395,0.7053,0.713,0.7088
0x5eace35f9cae4f44,3,0.6,0.7473,0.6853,0.7194
0x5eace35f9cae4f44,4,0.5983,0.7541,0.6643,0.722
0x5eace35f9cae4f44,5,0.6523,0.7224,0.6566,0.729
0x5eace35f9cae4f44,6,0.605,0.7532,0.6565,0.7319
0x5eace35f9cae4f44,7,0.6451,0.7341,0.6397,0.7345
0x5eace35f9cae4f44,8,0.6058,0.7562,0.698,0.7337
0x5eace35f9cae4f44,9,0.6445,0.7371,0.622,0.7422
0x5eace35f9cae4f44,10,0.6345,0.7372,0.6434,0.7382
