round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neuron,last_activation,last_neuron,losses,optimizer,shapes
10,0.49419938342911857,0.8141428828239441,0.5462741432956287,0.8052143,relu,32,0.3,10,60,2,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.48994374414852687,0.8160714507102966,0.5202850334899766,0.8092679,relu,32,0.2,10,40,2,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.49564631577900475,0.8133571147918701,0.504151092835835,0.81121427,elu,64,0.1,10,40,1,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4812016680581229,0.8157142996788025,0.49997101538521904,0.81364286,elu,128,0.1,10,60,3,80,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5212053196089609,0.8048571348190308,0.5737604960032872,0.79025,elu,128,0.3,10,40,3,80,softmax,10,categorical_crossentropy,Adam,brick
10,0.5040360218627112,0.814214289188385,0.5309651369878224,0.80389285,elu,32,0.2,10,80,3,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5069713293484279,0.8130714297294617,0.5931139734131949,0.794625,relu,128,0.3,10,80,3,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.513795058454786,0.8117856979370117,0.5996619868619102,0.79135716,relu,64,0.3,10,60,3,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.46879642135756355,0.8233571648597717,0.4735899175660951,0.82366073,relu,32,0.1,10,60,1,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.500835582120078,0.8137142658233643,0.5590922423090253,0.80325,relu,128,0.3,10,80,3,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.48680195689201355,0.8155714273452759,0.501289156624249,0.8126607,elu,64,0.1,10,80,3,80,softmax,10,categorical_crossentropy,Adam,brick
10,0.5110247596332005,0.805142879486084,0.5639930605888367,0.7920714,elu,128,0.3,10,40,3,80,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4697597779205867,0.8279285430908203,0.4912539830207825,0.82,relu,64,0.1,10,80,3,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5016667185000011,0.8124285936355591,0.5655742104308946,0.798625,relu,32,0.3,10,60,2,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.47498059477124893,0.8232142925262451,0.5034908392088754,0.81635714,relu,64,0.1,10,60,3,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.5028648022242955,0.8119999766349792,0.5427620540346418,0.801375,elu,64,0.2,10,40,2,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5045905648640224,0.8082143068313599,0.5405034941009113,0.8020893,elu,32,0.2,10,60,3,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4867301107815334,0.8139285445213318,0.532599462883813,0.80641073,relu,64,0.3,10,40,1,80,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4968498834882464,0.8145714402198792,0.5451644345692226,0.80067855,elu,64,0.2,10,80,3,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5128061235291618,0.8120714426040649,0.5301524595533098,0.8047857,elu,128,0.2,10,60,0,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5034831757204873,0.8142856955528259,0.5122051341789109,0.809875,elu,32,0.1,10,80,0,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5053330802236284,0.8145714402198792,0.5231351826020649,0.8065357,elu,64,0.2,10,60,0,80,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5095714954648699,0.8045714497566223,0.5491487770080566,0.7969107,elu,128,0.3,10,60,2,80,softmax,10,categorical_crossentropy,Nadam,brick
10,0.48151835639136176,0.8224999904632568,0.5224397157430649,0.8100179,relu,64,0.3,10,60,1,60,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5074198011670794,0.8094285726547241,0.5746844752175467,0.7950357,relu,128,0.3,10,40,3,80,softmax,10,categorical_crossentropy,Adam,brick
10,0.5287867572648185,0.8059285879135132,0.5396718007496425,0.801625,elu,128,0.1,10,40,0,80,softmax,10,categorical_crossentropy,Adam,brick
10,0.48540554319109236,0.8207857012748718,0.5298587317466736,0.8107321,relu,32,0.2,10,80,3,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.48798411643505096,0.8163571357727051,0.5365138414161545,0.80364287,relu,32,0.3,10,40,1,80,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4978831001690456,0.8155714273452759,0.5319025228534426,0.8025357,elu,64,0.2,10,60,2,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.5146896886144365,0.8112857341766357,0.546326463494982,0.79723215,elu,128,0.2,10,60,1,40,softmax,10,categorical_crossentropy,Adam,brick
10,0.519938109261649,0.8091428279876709,0.5436511633396148,0.80144644,elu,64,0.3,10,40,0,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.5092243205138616,0.8066428303718567,0.5516888954213688,0.7968214,elu,32,0.3,10,80,2,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.4854229694434575,0.8182142972946167,0.49484583151340483,0.81425,relu,32,0.2,10,60,0,60,softmax,10,categorical_crossentropy,Adam,brick
10,0.47799065353189196,0.8208571672439575,0.4868443205697196,0.81789285,relu,32,0.1,10,40,0,80,softmax,10,categorical_crossentropy,Nadam,brick
10,0.4877288121495928,0.8149999976158142,0.5374108074392592,0.8047857,relu,128,0.3,10,60,1,40,softmax,10,categorical_crossentropy,Nadam,brick
10,0.49865291047096255,0.8110714554786682,0.5380781777841704,0.8009464,elu,32,0.2,10,40,3,80,softmax,10,categorical_crossentropy,Adam,brick
10,0.4698221217734473,0.8255714178085327,0.4856276163543974,0.81925,relu,32,0.1,10,40,2,80,softmax,10,categorical_crossentropy,Adam,brick
10,0.4958960127830505,0.8116428852081299,0.5500074288163866,0.8040893,relu,64,0.3,10,60,3,80,softmax,10,categorical_crossentropy,Nadam,brick
