id,epoch,val_loss,val_acc,loss,acc
0x233c6492a0647817,1,0.957,0.6604,3.1684,0.6035
0x233c6492a0647817,2,0.7719,0.7459,1.0789,0.6409
0x233c6492a0647817,3,0.6424,0.7596,0.8536,0.6997
0x233c6492a0647817,4,0.6039,0.7689,0.6996,0.7437
0x233c6492a0647817,5,0.5572,0.8173,0.6403,0.7709
0x233c6492a0647817,6,0.4975,0.8276,0.6139,0.7818
0x233c6492a0647817,7,0.5611,0.8005,0.5942,0.7891
0x233c6492a0647817,8,0.4978,0.8142,0.5567,0.8024
0x233c6492a0647817,9,0.6269,0.7775,0.5553,0.8005
0x233c6492a0647817,10,0.466,0.8417,0.5483,0.8019
0x1e13341bb4698157,1,0.7646,0.6988,2.222,0.5528
0x1e13341bb4698157,2,0.6905,0.7219,0.8452,0.6741
0x1e13341bb4698157,3,0.6372,0.7334,0.749,0.7011
0x1e13341bb4698157,4,0.598,0.7427,0.6951,0.7174
0x1e13341bb4698157,5,0.583,0.7433,0.6778,0.7194
0x1e13341bb4698157,6,0.5972,0.7429,0.6589,0.7268
0x1e13341bb4698157,7,0.5637,0.7592,0.6378,0.7334
0x1e13341bb4698157,8,0.5586,0.7512,0.6245,0.7374
0x1e13341bb4698157,9,0.5677,0.752,0.6149,0.741
0x1e13341bb4698157,10,0.56,0.7533,0.6069,0.7436
0x4c4efaf771880cff,1,1.0358,0.5893,2.6413,0.3661
0x4c4efaf771880cff,2,0.8766,0.6302,1.2752,0.518
0x4c4efaf771880cff,3,0.8263,0.636,1.0761,0.5695
0x4c4efaf771880cff,4,0.8274,0.6433,0.9978,0.5944
0x4c4efaf771880cff,5,0.757,0.6986,0.9425,0.6141
0x4c4efaf771880cff,6,0.6793,0.7034,0.8544,0.6592
0x4c4efaf771880cff,7,0.6661,0.7283,0.8263,0.6663
0x4c4efaf771880cff,8,0.6572,0.7179,0.7972,0.6738
0x4c4efaf771880cff,9,0.629,0.7328,0.7843,0.681
0x4c4efaf771880cff,10,0.8284,0.7021,0.7588,0.6868
0x6ee5e9eaa3a06c90,1,0.7233,0.7404,2.2768,0.5826
0x6ee5e9eaa3a06c90,2,0.6287,0.7682,0.837,0.6976
0x6ee5e9eaa3a06c90,3,0.641,0.778,0.7346,0.7296
0x6ee5e9eaa3a06c90,4,0.5822,0.7794,0.6911,0.7415
0x6ee5e9eaa3a06c90,5,0.5722,0.7902,0.6591,0.7556
0x6ee5e9eaa3a06c90,6,0.5423,0.8021,0.6474,0.7591
0x6ee5e9eaa3a06c90,7,0.5432,0.8013,0.6359,0.7621
0x6ee5e9eaa3a06c90,8,0.5719,0.7962,0.624,0.7665
0x6ee5e9eaa3a06c90,9,0.5451,0.7996,0.617,0.7701
0x6ee5e9eaa3a06c90,10,0.577,0.7905,0.6147,0.7706
0x19eae92dc23e9192,1,1.0343,0.6965,2.718,0.5917
0x19eae92dc23e9192,2,0.7158,0.7205,1.0317,0.633
0x19eae92dc23e9192,3,0.7311,0.697,0.8478,0.6731
0x19eae92dc23e9192,4,0.6527,0.7173,0.7724,0.6931
0x19eae92dc23e9192,5,0.6735,0.726,0.7412,0.7031
0x19eae92dc23e9192,6,0.6076,0.753,0.7216,0.7104
0x19eae92dc23e9192,7,0.6693,0.7164,0.7019,0.718
0x19eae92dc23e9192,8,0.6513,0.717,0.684,0.7239
0x19eae92dc23e9192,9,0.6262,0.7617,0.6799,0.7335
0x19eae92dc23e9192,10,0.6516,0.7335,0.6508,0.7573
0x3de092a99a6d7e97,1,0.805,0.7026,2.7305,0.5733
0x3de092a99a6d7e97,2,0.6802,0.7241,0.864,0.6739
0x3de092a99a6d7e97,3,0.6281,0.7522,0.7395,0.7061
0x3de092a99a6d7e97,4,0.5564,0.788,0.6714,0.7405
0x3de092a99a6d7e97,5,0.5749,0.7823,0.6419,0.7581
0x3de092a99a6d7e97,6,0.5365,0.7971,0.6094,0.7693
0x3de092a99a6d7e97,7,0.5247,0.7989,0.5915,0.7748
0x3de092a99a6d7e97,8,0.5152,0.8026,0.5837,0.7791
0x3de092a99a6d7e97,9,0.5066,0.8078,0.5706,0.7839
0x3de092a99a6d7e97,10,0.5106,0.8119,0.5676,0.7841
0x216e10d69633261f,1,0.827,0.694,2.839,0.525
0x216e10d69633261f,2,0.7142,0.715,0.9229,0.6547
0x216e10d69633261f,3,0.6777,0.7271,0.8049,0.6885
0x216e10d69633261f,4,0.6505,0.7305,0.7357,0.7072
0x216e10d69633261f,5,0.6086,0.7438,0.7037,0.7182
0x216e10d69633261f,6,0.5946,0.7429,0.6993,0.7193
0x216e10d69633261f,7,0.6092,0.7443,0.6746,0.7242
0x216e10d69633261f,8,0.6402,0.7175,0.6741,0.7232
0x216e10d69633261f,9,0.5961,0.7422,0.6612,0.7285
0x216e10d69633261f,10,0.5883,0.753,0.6527,0.7288
0xfc7164863e458fe,1,0.9577,0.6093,3.0201,0.4323
0xfc7164863e458fe,2,0.9064,0.6363,1.2764,0.5095
0xfc7164863e458fe,3,0.9588,0.5989,1.1939,0.5244
0xfc7164863e458fe,4,0.9653,0.5723,1.1784,0.5257
0xfc7164863e458fe,5,0.8583,0.6213,1.1451,0.5427
0xfc7164863e458fe,6,1.0322,0.5399,1.2055,0.5388
0xfc7164863e458fe,7,0.8871,0.6451,1.1054,0.5542
0xfc7164863e458fe,8,0.9155,0.6088,1.168,0.53
0xfc7164863e458fe,9,0.8293,0.6251,1.1255,0.5529
0xfc7164863e458fe,10,0.8453,0.6541,1.1044,0.5593
0x5fd087ea1b2bb816,1,0.89,0.6205,2.2418,0.5148
0x5fd087ea1b2bb816,2,0.668,0.7298,1.0117,0.6185
0x5fd087ea1b2bb816,3,0.6453,0.7302,0.864,0.6726
0x5fd087ea1b2bb816,4,0.6326,0.7693,0.7984,0.7038
0x5fd087ea1b2bb816,5,0.6055,0.7749,0.7553,0.7204
0x5fd087ea1b2bb816,6,0.5812,0.7902,0.7529,0.7171
0x5fd087ea1b2bb816,7,0.5917,0.7734,0.7304,0.7262
0x5fd087ea1b2bb816,8,0.6226,0.7666,0.7215,0.7311
0x5fd087ea1b2bb816,9,0.6065,0.7821,0.7364,0.7284
0x5fd087ea1b2bb816,10,0.5907,0.776,0.71,0.7364
0x484c80a07bb5516a,1,0.9403,0.6178,2.5261,0.5917
0x484c80a07bb5516a,2,0.7938,0.7062,1.1808,0.579
0x484c80a07bb5516a,3,0.8437,0.698,1.1468,0.5946
0x484c80a07bb5516a,4,0.8516,0.6858,1.0819,0.6106
0x484c80a07bb5516a,5,0.8221,0.703,1.0462,0.6288
0x484c80a07bb5516a,6,0.7804,0.6937,1.0401,0.635
0x484c80a07bb5516a,7,0.9966,0.6769,1.0345,0.6332
0x484c80a07bb5516a,8,0.8141,0.67,1.003,0.64
0x484c80a07bb5516a,9,0.8084,0.7093,1.0242,0.6371
0x484c80a07bb5516a,10,0.796,0.7139,0.9929,0.6441
