id,epoch,val_loss,val_acc,loss,acc
0x59e1fb6aa256360d,1,0.4688,0.8257,0.5913,0.7849
0x59e1fb6aa256360d,2,0.4252,0.8429,0.4686,0.8258
0x59e1fb6aa256360d,3,0.3977,0.8522,0.442,0.8363
0x59e1fb6aa256360d,4,0.3898,0.8539,0.4248,0.8421
0x59e1fb6aa256360d,5,0.3776,0.8586,0.4145,0.8451
0x59e1fb6aa256360d,6,0.3631,0.8619,0.4041,0.8484
0x59e1fb6aa256360d,7,0.3687,0.8618,0.3984,0.8514
0x59e1fb6aa256360d,8,0.3672,0.8634,0.3925,0.853
0x59e1fb6aa256360d,9,0.3605,0.8639,0.3878,0.8552
0x59e1fb6aa256360d,10,0.352,0.8691,0.3832,0.8558
0x607a6b78880bd8a9,1,0.4683,0.8186,0.6301,0.7673
0x607a6b78880bd8a9,2,0.4082,0.8436,0.4537,0.8296
0x607a6b78880bd8a9,3,0.3809,0.8566,0.4193,0.8422
0x607a6b78880bd8a9,4,0.3671,0.861,0.3989,0.8497
0x607a6b78880bd8a9,5,0.3702,0.8582,0.3835,0.8544
0x607a6b78880bd8a9,6,0.3777,0.8536,0.3762,0.8583
0x607a6b78880bd8a9,7,0.3508,0.8688,0.3651,0.8627
0x607a6b78880bd8a9,8,0.3499,0.8696,0.3585,0.8652
0x607a6b78880bd8a9,9,0.3445,0.872,0.3542,0.8656
0x607a6b78880bd8a9,10,0.3611,0.8654,0.3466,0.8688
0x4e30829e46f455a3,1,0.5094,0.8066,0.8469,0.691
0x4e30829e46f455a3,2,0.474,0.8263,0.5872,0.7872
0x4e30829e46f455a3,3,0.4337,0.8305,0.5332,0.8082
0x4e30829e46f455a3,4,0.4199,0.8433,0.5115,0.8142
0x4e30829e46f455a3,5,0.4,0.8514,0.4939,0.8205
0x4e30829e46f455a3,6,0.4024,0.8509,0.4813,0.8259
0x4e30829e46f455a3,7,0.4155,0.8399,0.4683,0.829
0x4e30829e46f455a3,8,0.3849,0.8547,0.4645,0.8316
0x4e30829e46f455a3,9,0.3867,0.8571,0.455,0.8354
0x4e30829e46f455a3,10,0.3822,0.8576,0.4521,0.837
0x506d6f19c1350603,1,0.6998,0.7076,1.1316,0.546
0x506d6f19c1350603,2,0.6277,0.7261,0.8296,0.6673
0x506d6f19c1350603,3,0.5891,0.7519,0.7652,0.695
0x506d6f19c1350603,4,0.5922,0.7711,0.7375,0.708
0x506d6f19c1350603,5,0.5656,0.778,0.7178,0.7205
0x506d6f19c1350603,6,0.5597,0.7839,0.7056,0.7276
0x506d6f19c1350603,7,0.5548,0.7923,0.6962,0.7344
0x506d6f19c1350603,8,0.537,0.7869,0.6776,0.7444
0x506d6f19c1350603,9,0.5222,0.8051,0.6717,0.7525
0x506d6f19c1350603,10,0.4965,0.8271,0.6548,0.7612
0x68759e0a99ce1c4e,1,0.4995,0.8119,0.6449,0.7621
0x68759e0a99ce1c4e,2,0.44,0.836,0.4852,0.8199
0x68759e0a99ce1c4e,3,0.4053,0.8482,0.4501,0.8334
0x68759e0a99ce1c4e,4,0.3797,0.8589,0.4285,0.8408
0x68759e0a99ce1c4e,5,0.3796,0.8541,0.4138,0.8456
0x68759e0a99ce1c4e,6,0.3712,0.8613,0.4006,0.8495
0x68759e0a99ce1c4e,7,0.3683,0.8594,0.3934,0.8526
0x68759e0a99ce1c4e,8,0.3777,0.8582,0.3855,0.8546
0x68759e0a99ce1c4e,9,0.3614,0.8636,0.3786,0.8578
0x68759e0a99ce1c4e,10,0.3525,0.8658,0.3708,0.8625
0x78c2a109880ddd76,1,0.4805,0.8207,0.7818,0.7198
0x78c2a109880ddd76,2,0.4387,0.8333,0.5645,0.798
0x78c2a109880ddd76,3,0.417,0.8462,0.5165,0.813
0x78c2a109880ddd76,4,0.4047,0.8469,0.4926,0.8207
0x78c2a109880ddd76,5,0.4252,0.8436,0.475,0.8269
0x78c2a109880ddd76,6,0.4009,0.8473,0.463,0.8321
0x78c2a109880ddd76,7,0.3827,0.858,0.4484,0.8353
0x78c2a109880ddd76,8,0.381,0.8557,0.4389,0.8401
0x78c2a109880ddd76,9,0.3697,0.8641,0.4343,0.8407
0x78c2a109880ddd76,10,0.3762,0.8589,0.4269,0.8446
0x5cdd94f036712c01,1,0.4566,0.824,0.6429,0.7566
0x5cdd94f036712c01,2,0.424,0.8376,0.4782,0.8219
0x5cdd94f036712c01,3,0.4055,0.8455,0.446,0.8346
0x5cdd94f036712c01,4,0.3776,0.8626,0.4313,0.8388
0x5cdd94f036712c01,5,0.374,0.8626,0.4214,0.8432
0x5cdd94f036712c01,6,0.3872,0.8516,0.4116,0.8461
0x5cdd94f036712c01,7,0.3808,0.861,0.4037,0.8495
0x5cdd94f036712c01,8,0.3765,0.8609,0.4021,0.85
0x5cdd94f036712c01,9,0.3711,0.8644,0.3964,0.8523
0x5cdd94f036712c01,10,0.3614,0.8621,0.394,0.8535
0x5a7e81c4b41a2118,1,0.4929,0.8176,0.7839,0.7134
0x5a7e81c4b41a2118,2,0.4991,0.8201,0.6028,0.7887
0x5a7e81c4b41a2118,3,0.4689,0.8284,0.5665,0.8022
0x5a7e81c4b41a2118,4,0.4614,0.8271,0.5455,0.8086
0x5a7e81c4b41a2118,5,0.434,0.8474,0.5342,0.815
0x5a7e81c4b41a2118,6,0.4101,0.8483,0.5222,0.8198
0x5a7e81c4b41a2118,7,0.402,0.8566,0.5138,0.8208
0x5a7e81c4b41a2118,8,0.4257,0.8456,0.5071,0.8219
0x5a7e81c4b41a2118,9,0.4238,0.8485,0.502,0.8242
0x5a7e81c4b41a2118,10,0.4251,0.845,0.5026,0.8262
0x7d74c71252359ac1,1,0.4764,0.8271,0.6592,0.7595
0x7d74c71252359ac1,2,0.4113,0.8486,0.4973,0.8172
0x7d74c71252359ac1,3,0.4143,0.8416,0.4707,0.8266
0x7d74c71252359ac1,4,0.3961,0.8529,0.4521,0.8327
0x7d74c71252359ac1,5,0.3851,0.8561,0.4409,0.834
0x7d74c71252359ac1,6,0.3831,0.8579,0.4336,0.8404
0x7d74c71252359ac1,7,0.3746,0.8605,0.4236,0.8427
0x7d74c71252359ac1,8,0.3707,0.8618,0.4199,0.8433
0x7d74c71252359ac1,9,0.3676,0.8672,0.4134,0.8466
0x7d74c71252359ac1,10,0.3644,0.8646,0.4127,0.8471
0x2ab78beeeef3d5ce,1,0.4504,0.8259,0.64,0.7623
0x2ab78beeeef3d5ce,2,0.4007,0.8485,0.4766,0.8227
0x2ab78beeeef3d5ce,3,0.3908,0.8554,0.4421,0.8357
0x2ab78beeeef3d5ce,4,0.3836,0.8547,0.4258,0.8415
0x2ab78beeeef3d5ce,5,0.3755,0.861,0.4135,0.8463
0x2ab78beeeef3d5ce,6,0.3747,0.8601,0.4062,0.8493
0x2ab78beeeef3d5ce,7,0.3656,0.8597,0.3959,0.8544
0x2ab78beeeef3d5ce,8,0.3768,0.8573,0.3909,0.8547
0x2ab78beeeef3d5ce,9,0.3536,0.8689,0.385,0.8559
0x2ab78beeeef3d5ce,10,0.3547,0.8659,0.3785,0.859
0x5e5fdf30d931a741,1,0.4737,0.8213,0.6097,0.7791
0x5e5fdf30d931a741,2,0.4109,0.8479,0.4562,0.8305
0x5e5fdf30d931a741,3,0.3855,0.8539,0.4196,0.8417
0x5e5fdf30d931a741,4,0.373,0.8604,0.4012,0.8498
0x5e5fdf30d931a741,5,0.3655,0.8626,0.3892,0.8536
0x5e5fdf30d931a741,6,0.3772,0.8588,0.3779,0.8583
0x5e5fdf30d931a741,7,0.3599,0.8654,0.3715,0.8619
0x5e5fdf30d931a741,8,0.3521,0.8669,0.3669,0.8614
0x5e5fdf30d931a741,9,0.3526,0.8674,0.3591,0.8639
0x5e5fdf30d931a741,10,0.3421,0.8689,0.3544,0.8671
0x6430fbd06244acef,1,0.5063,0.8058,0.6436,0.7638
0x6430fbd06244acef,2,0.4287,0.8392,0.5086,0.812
0x6430fbd06244acef,3,0.4067,0.8437,0.477,0.8246
0x6430fbd06244acef,4,0.3935,0.8494,0.4536,0.8336
0x6430fbd06244acef,5,0.3766,0.8578,0.4406,0.8358
0x6430fbd06244acef,6,0.3755,0.8588,0.43,0.8404
0x6430fbd06244acef,7,0.3765,0.8585,0.4191,0.8438
0x6430fbd06244acef,8,0.3643,0.8621,0.4114,0.8445
0x6430fbd06244acef,9,0.3631,0.8607,0.4078,0.8474
0x6430fbd06244acef,10,0.359,0.8612,0.4046,0.8483
0x414a2859ebc09564,1,0.4893,0.8177,0.6558,0.764
0x414a2859ebc09564,2,0.4367,0.8348,0.4808,0.8232
0x414a2859ebc09564,3,0.4102,0.8501,0.4421,0.8357
0x414a2859ebc09564,4,0.3956,0.8528,0.4228,0.8424
0x414a2859ebc09564,5,0.3812,0.8576,0.4075,0.8491
0x414a2859ebc09564,6,0.3834,0.8581,0.4,0.8512
0x414a2859ebc09564,7,0.3657,0.8611,0.3907,0.8547
0x414a2859ebc09564,8,0.3611,0.8666,0.3831,0.8564
0x414a2859ebc09564,9,0.3685,0.8589,0.3779,0.8571
0x414a2859ebc09564,10,0.3534,0.8685,0.3713,0.8605
