id,epoch,val_loss,val_acc,loss,acc
0x794b277c804ced64,1,0.8926,0.6919,5.3508,0.5803
0x794b277c804ced64,2,0.7185,0.7604,1.0402,0.6572
0x794b277c804ced64,3,0.6257,0.7789,0.8766,0.6984
0x794b277c804ced64,4,0.5703,0.8116,0.7946,0.7177
0x794b277c804ced64,5,0.5387,0.8256,0.7288,0.7389
0x794b277c804ced64,6,0.5236,0.8231,0.6831,0.753
0x794b277c804ced64,7,0.5408,0.8306,0.6722,0.7566
0x794b277c804ced64,8,0.5096,0.8301,0.6588,0.7596
0x794b277c804ced64,9,0.4762,0.8443,0.6322,0.7702
0x794b277c804ced64,10,0.5064,0.8416,0.6124,0.7775
0x64206b172a0ce96f,1,1.0133,0.5487,1.9249,0.4493
0x64206b172a0ce96f,2,0.8393,0.6418,1.0215,0.5836
0x64206b172a0ce96f,3,0.6976,0.7228,0.8869,0.656
0x64206b172a0ce96f,4,0.6848,0.7325,0.8297,0.6887
0x64206b172a0ce96f,5,0.6699,0.7235,0.7881,0.6964
0x64206b172a0ce96f,6,0.6905,0.7286,0.7695,0.6975
0x64206b172a0ce96f,7,0.7131,0.7145,0.7579,0.705
0x64206b172a0ce96f,8,0.6527,0.7366,0.7859,0.6969
0x64206b172a0ce96f,9,0.6451,0.7406,0.7453,0.7077
0x64206b172a0ce96f,10,0.6613,0.7249,0.7539,0.7043
0x3ab92ca790b3b973,1,0.9473,0.6541,4.4581,0.5043
0x3ab92ca790b3b973,2,0.7811,0.6931,1.2504,0.5751
0x3ab92ca790b3b973,3,0.6846,0.725,1.002,0.6266
0x3ab92ca790b3b973,4,0.6881,0.7094,0.8895,0.6538
0x3ab92ca790b3b973,5,0.6455,0.7306,0.851,0.6638
0x3ab92ca790b3b973,6,0.6394,0.7335,0.8037,0.6766
0x3ab92ca790b3b973,7,0.6078,0.7257,0.7655,0.6868
0x3ab92ca790b3b973,8,0.6298,0.7224,0.7598,0.6918
0x3ab92ca790b3b973,9,0.6102,0.7266,0.7275,0.7025
0x3ab92ca790b3b973,10,0.5949,0.7541,0.722,0.7067
0x5ab3505e5ba543f5,1,0.87,0.6825,3.1811,0.5765
0x5ab3505e5ba543f5,2,0.878,0.695,1.056,0.6184
0x5ab3505e5ba543f5,3,0.7151,0.7099,0.9701,0.6402
0x5ab3505e5ba543f5,4,0.663,0.7451,0.8979,0.6584
0x5ab3505e5ba543f5,5,0.6566,0.7567,0.8434,0.6843
0x5ab3505e5ba543f5,6,0.6484,0.7514,0.799,0.701
0x5ab3505e5ba543f5,7,0.6115,0.7712,0.7873,0.7074
0x5ab3505e5ba543f5,8,0.6374,0.7861,0.7877,0.7061
0x5ab3505e5ba543f5,9,0.6425,0.7646,0.788,0.7077
0x5ab3505e5ba543f5,10,0.6586,0.7736,0.777,0.7084
0x20dd3dfa34632d77,1,1.0748,0.6415,4.4284,0.5397
0x20dd3dfa34632d77,2,0.851,0.6777,1.248,0.5887
0x20dd3dfa34632d77,3,0.7652,0.6991,1.0438,0.6192
0x20dd3dfa34632d77,4,0.7267,0.7159,0.9378,0.6471
0x20dd3dfa34632d77,5,0.6767,0.7283,0.8631,0.6671
0x20dd3dfa34632d77,6,0.6283,0.7371,0.823,0.6755
0x20dd3dfa34632d77,7,0.6253,0.735,0.8126,0.6841
0x20dd3dfa34632d77,8,0.6388,0.7386,0.8101,0.6833
0x20dd3dfa34632d77,9,0.7153,0.7193,0.8388,0.6763
0x20dd3dfa34632d77,10,0.6257,0.7402,0.8304,0.6812
